Flight No.,Date,Time,Version Booster,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
418,"January 4, 2025",01:27,F9B5,Cape Canaveral,Thuraya 4-NGS,"5,000 kg",GTO,Thuraya,Success,Success (
419,"January 6, 2025",20:43,F9B5,Cape Canaveral,Starlink,"~17,500 kg",LEO,SpaceX,Success,Success (
420,"January 8, 2025",15:27,F9B5,Kennedy,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
421,"January 10, 2025",03:53,F9B5,Vandenberg,Starshield,U,LEO,NRO,Success,Success (
422,"January 10, 2025",19:11,F9B5,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
423,"January 13, 2025",16:47,F9B5,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
424,"January 14, 2025",19:09,F9B5,Vandenberg,Transporter-12,"2,000 kg",SSO,Various,Success,Success (
425,"January 15, 2025",06:11,F9B5,Kennedy,Blue Ghost Mission 1,"2,517 kg",TLI,Firefly Aerospace,Success,Success (
426,"January 21, 2025",05:24,F9B5,Kennedy,Starlink,"~15,300 kg",LEO,SpaceX,Success,Success (
427,"January 21, 2025",15:45,F9B5,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
428,"January 24, 2025",14:07,F9B5,Vandenberg,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
429,"January 27, 2025",22:05,F9B5,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
430,"January 30, 2025",01:34,F9B5,Kennedy,Spainsat NG,"6,100 kg",GTO,Hisdesat,Success,No attempt
431,"February 1, 2025",23:02,F9B5,Vandenberg,Starlink,"~16,700 kg",LEO,SpaceX,Success,Success (
432,"February 4, 2025",10:15,F9B5,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
433,"February 4, 2025",23:13,F9B5,Kennedy,WorldView Legion,"1,500 kg",LEO,Maxar Technologies,Success,Success (
434,"February 8, 2025",19:18,F9B5,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
435,"February 11, 2025",02:09,F9B5,Vandenberg,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
436,"February 11, 2025",18:53,F9B5,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
437,"February 15, 2025",06:14,F9B5B1067,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
438,"February 18, 2025",23:21,F9B5,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
439,"February 21, 2025",15:19,F9B5,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
440,"February 23, 2025",01:38,F9B5,Vandenberg,Starlink,"~16,800 kg",LEO,SpaceX,Success,Success (
441,"February 27, 2025",00:16,F9B5,Kennedy,IM-2,U,TLI,NASA,Success,Success (
442,"February 27, 2025",03:34,F9B5‑[,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
443,"March 3, 2025",02:24,F9B5,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,Failure (
444,"March 12, 2025",03:10,F9B5,Vandenberg,SPHEREx,758 kg,SSO,NASA,Success,Success (
445,"March 13, 2025",02:35,F9B5,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
446,"March 14, 2025",23:03,F9B5,Kennedy,Crew-10,"~13,000 kg",LEO,NASA,Success,Success (
447,"March 15, 2025",06:43,F9B5,Vandenberg,Transporter-13,U,SSO,Various,Success,Success (
448,"March 15, 2025",11:35,F9B5,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
449,"March 18, 2025",19:57,F9B5,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
450,"March 21, 2025",06:49,F9B5,Vandenberg,NROL-57,U,LEO,NRO,Success,Success (
451,"March 24, 2025",17:48,F9B5,Cape Canaveral,NROL-69,U,LEO,USSF,Success,Success (
452,"March 26, 2025",22:11,F9B5,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
453,"March 31, 2025",19:52,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
454,"April 1, 2025",01:46,F9B5,Kennedy,Fram2,"~13,000 kg",Polar,Chun Wang,Success,Success (
455,"April 4, 2025",01:02,F9B5,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
456,"April 6, 2025",03:07,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
457,"April 7, 2025",23:06,F9B5,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
458,"April 12, 2025",12:25,F9B5,Vandenberg,NROL-192,U,LEO,NRO,Success,Success (
459,"April 13, 2025",00:53,F9B5,Kennedy,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
460,"April 14, 2025",04:00,F9B5,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
461,"April 20, 2025",12:29,F9B5,Vandenberg,NROL-145,U,LEO,NRO,Success,Success (
462,"April 21, 2025",08:15,F9B5B1092,Kennedy,SpaceX CRS-32,"3,021 kg",LEO,NASA,Success,Success (
463,"April 22, 2025",00:48,F9B5,Cape Canaveral,Bandwagon-3,U,LEO,Republic of Korea Armed Forces,Success,Success (
464,"April 25, 2025",01:52,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
465,"April 28, 2025",02:09,F9B5,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
466,"April 28, 2025",20:42,F9B5,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
467,"April 29, 2025",02:34,F9B5,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
468,"May 2, 2025",01:51,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
469,"May 4, 2025",08:54,F9B5,Kennedy,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
470,"May 7, 2025",01:17,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
471,"May 10, 2025",00:19,F9B5,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,Success (
472,"May 10, 2025",06:28,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
